=== Knee/Ankle Issue Frames ===
총 문제 프레임: 489

{'frame': 46, 'left_knee_score': 0.04839048534631729, 'right_knee_score': 0.029128186404705048, 'knee_gap': 218.989003999405, 'left_ankle_score': 0.032706573605537415, 'right_ankle_score': 0.03038981929421425, 'ankle_gap': 263.7962152173199}
{'frame': 47, 'left_knee_score': 0.049465831369161606, 'right_knee_score': 0.03888978064060211, 'knee_gap': 205.13233886137334, 'left_ankle_score': 0.0331188440322876, 'right_ankle_score': 0.033545318990945816, 'ankle_gap': 257.2393208101235}
{'frame': 48, 'left_knee_score': 0.050509750843048096, 'right_knee_score': 0.04581451788544655, 'knee_gap': 200.1600860097617, 'left_ankle_score': 0.033774472773075104, 'right_ankle_score': 0.04681738093495369, 'ankle_gap': 247.92031529202492}
{'frame': 49, 'left_knee_score': 0.054587069898843765, 'right_knee_score': 0.04803670197725296, 'knee_gap': 192.12624078028537, 'left_ankle_score': 0.040748655796051025, 'right_ankle_score': 0.048960428684949875, 'ankle_gap': 242.4399903549322}
{'frame': 50, 'left_knee_score': 0.05743955075740814, 'right_knee_score': 0.0492340512573719, 'knee_gap': 185.09560695873893, 'left_ankle_score': 0.04685334861278534, 'right_ankle_score': 0.058896683156490326, 'ankle_gap': 225.9212213482383}
{'frame': 51, 'left_knee_score': 0.06287876516580582, 'right_knee_score': 0.05678025633096695, 'knee_gap': 176.90653656664128, 'left_ankle_score': 0.050314661115407944, 'right_ankle_score': 0.07553121447563171, 'ankle_gap': 209.46752578191723}
{'frame': 52, 'left_knee_score': 0.06803714483976364, 'right_knee_score': 0.055458568036556244, 'knee_gap': 166.47003735681943, 'left_ankle_score': 0.047291405498981476, 'right_ankle_score': 0.07846967875957489, 'ankle_gap': 201.34984666977326}
{'frame': 53, 'left_knee_score': 0.06512827426195145, 'right_knee_score': 0.05364485830068588, 'knee_gap': 157.84856661940577, 'left_ankle_score': 0.0467318594455719, 'right_ankle_score': 0.08424095809459686, 'ankle_gap': 195.1181961255455}
{'frame': 54, 'left_knee_score': 0.06392708420753479, 'right_knee_score': 0.05308599770069122, 'knee_gap': 148.7697610354455, 'left_ankle_score': 0.045534417033195496, 'right_ankle_score': 0.08966724574565887, 'ankle_gap': 182.75757243328826}
{'frame': 55, 'left_knee_score': 0.06536135077476501, 'right_knee_score': 0.03654387593269348, 'knee_gap': 124.7060521539825, 'left_ankle_score': 0.04232053831219673, 'right_ankle_score': 0.08675138652324677, 'ankle_gap': 176.57609780934885}
